Dir,Display_name,Raw_name,Query,gisphilagov,Category,Benny_version,Notes
A,Schools,GIS_PLANNING.Schools,,,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/5543866320583086178c4ef1/representationdetails/55438aa49b989a05172d0d37/,
A,Police Athletic League Centers,GIS_POLICE.PAL_Centers,,,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/5543867420583086178c4f3a/representationdetails/55438ac49b989a05172d0d70/,
A,Public Playgrounds,GIS_PPR.PPR_Playground_Equipment,,,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/56ccd2944e51d23a04a304eb/representationdetails/56ccd54b8f9dd4f9244baae7/,
AQ,Free Libraries,GIS_GSG.City_Facilities_pub,ASSET_GROUP1 = 'A8',,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/565f096450be9493120352a1/representationdetails/565f1601a6c636480f4abdf8/,
AQ,Rec Centers,GIS_GSG.City_Facilities_pub,ASSET_SUBTYPE1 = 'C50',,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/565f096450be9493120352a1/representationdetails/565f1601a6c636480f4abdf8/,
A,Parks & Recreation Sites,GIS_PPR.PPR_Assets,,,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/5543866c20583086178c4f19/representationdetails/55438ab29b989a05172d0d50/,
AQ,Athletic Fields Tracks and Courts,GIS_GSG.City_Facilities_pub,ASSET_SUBTYPE1 =  'C3' OR ASSET_SUBTYPE1 = 'C4' OR ASSET_SUBTYPE1 = 'C6' OR ASSET_SUBTYPE1 = 'C67' OR ASSET_SUBTYPE1 = 'C68' OR ASSET_SUBTYPE1 = 'C85' OR ASSET_SUBTYPE1 = 'C87' OR ASSET_SUBTYPE1 = 'C88' OR ASSET_SUBTYPE1 = 'C89' OR ASSET_SUBTYPE1 = 'C90',,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/565f096450be9493120352a1/representationdetails/565f1601a6c636480f4abdf8/,
AQ,Ice Rinks,GIS_GSG.City_Facilities_pub,GIS_GSG.CITY_FACILITIES_PUB(ASSET_NAME LIKE '%Ice Rink%'),,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/565f096450be9493120352a1/representationdetails/565f1601a6c636480f4abdf8/,
AQ,Golf Courses,GIS_GSG.City_Facilities_pub,GIS_GSG.CITY_FACILITIES_PUB(ASSET_SUBTYPE1 = 'C13' OR ASSET_SUBTYPE1 = 'C18' OR ASSET_SUBTYPE1 = 'C52' OR ASSET_NAME LIKE '%Disc Golf%'),,Education and Recreation,http://metadata.phila.gov/#home/datasetdetails/565f096450be9493120352a1/representationdetails/565f1601a6c636480f4abdf8/,
A,Fire Stations,GIS_FIRE.Fire_Dept_Facilities,,,Public Safety,http://metadata.phila.gov/#home/datasetdetails/5543867120583086178c4f2b/representationdetails/55438abb9b989a05172d0d62/,
A,Police Stations,GIS_POLICE.Police_Stations,,,Public Safety,http://metadata.phila.gov/#home/datasetdetails/5543864720583086178c4e7f/representationdetails/55438a849b989a05172d0cff/,
G,Crime Incidents (Last 30 Days),GIS_POLICE.INCIDENTS_PART1_PART2,,//gis.phila.gov/arcgis/rest/services/PhilaGov/Police_Incidents_Part1_Part2_Last30/MapServer,Public Safety,http://metadata.phila.gov/#home/datasetdetails/5543868920583086178c4f8e/representationdetails/570e7621c03327dc14f4b68d/,
N,Cooling Centers,,,,Public Safety,,no metadata
G,Evacuation Routes,GIS_OEM.EvacuationRoute,,//gis.phila.gov/ArcGIS/rest/services/PhilaGov/Evacuation_Routes/MapServer,Public Safety,http://metadata.phila.gov/#home/datasetdetails/5543866f20583086178c4f22/representationdetails/55438ab69b989a05172d0d59/,
